example_id                                                                                     | status  | run_time               |
./spec/components/sdg/goals/index_component_spec.rb[1:1:2]                                     | passed  | 0.75354 seconds        |
./spec/components/sdg/goals/index_component_spec.rb[1:2]                                       | passed  | 0.28869 seconds        |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:1]                              | passed  | 0.04458 seconds        |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:2]                              | passed  | 0.04596 seconds        |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:3]                              | passed  | 0.05108 seconds        |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:4]                              | passed  | 0.04766 seconds        |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:5]                              | passed  | 0.0458 seconds         |
./spec/components/sdg/goals/plain_tag_list_component_spec.rb[1:6]                              | passed  | 0.05152 seconds        |
./spec/components/sdg/goals/show_component_spec.rb[1:1]                                        | passed  | 0.04879 seconds        |
./spec/components/sdg/goals/show_component_spec.rb[1:2]                                        | passed  | 0.07575 seconds        |
./spec/components/sdg/goals/tag_cloud_component_spec.rb[1:1]                                   | passed  | 0.03801 seconds        |
./spec/components/sdg/goals/tag_cloud_component_spec.rb[1:2]                                   | passed  | 0.05454 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:1]                                    | passed  | 0.04918 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:2]                                    | passed  | 0.04744 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:3]                                    | passed  | 0.07118 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:4]                                    | passed  | 0.05464 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:5]                                    | passed  | 0.05177 seconds        |
./spec/components/sdg/goals/tag_list_component_spec.rb[1:6]                                    | passed  | 0.05447 seconds        |
./spec/components/sdg/goals/targets_component_spec.rb[1:1]                                     | passed  | 0.01513 seconds        |
./spec/components/sdg/goals/targets_component_spec.rb[1:2]                                     | passed  | 0.01928 seconds        |
./spec/components/sdg/goals/targets_component_spec.rb[1:3]                                     | passed  | 0.02319 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:1]                             | passed  | 0.03535 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:2]                             | passed  | 0.03454 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:3]                             | passed  | 0.09493 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:4:1]                           | passed  | 0.06514 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:5:1]                           | passed  | 0.03129 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:5:2]                           | passed  | 0.03111 seconds        |
./spec/components/sdg/related_list_selector_component_spec.rb[1:5:3]                           | passed  | 0.03904 seconds        |
./spec/components/sdg/tag_list_component_spec.rb[1:1]                                          | passed  | 0.08796 seconds        |
./spec/components/sdg/tag_list_component_spec.rb[1:2]                                          | passed  | 0.02319 seconds        |
./spec/components/sdg/tag_list_component_spec.rb[1:3:1]                                        | passed  | 0.06837 seconds        |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:1]                            | passed  | 0.05569 seconds        |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:2]                            | passed  | 0.0561 seconds         |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:3]                            | passed  | 0.06005 seconds        |
